kodeBarang,tanggalBM,nomorBM,rollBM
FD00L0000120007MP001RT,8/29/2022,BM 223400020,1152
FD00L0000120007MP001RT,11/8/2022,BM 223400024,1152
FOT0L0000480050MA001RT,9/28/2022,BM 223400021,2520
FOT0L0000480050MA001RT,3/13/2023,BM 233400005,2952
FOC0L0000480050MA001RT,2/13/2023,BM 233400003,5760
FOC0L0000480050MA001RT,3/13/2023,BM 233400005,2160
FOC0L0000480050MA001RT,4/4/2023,BM 233400007,5112
FZC0L0000120072YC001RT,1/6/2023,BM 233400001,2304
FZC0L0000120072YC001RT,3/13/2023,BM 233400005,1440
FZC0L0000120072YC001RT,4/4/2023,BM 233400008,864
FCH0CA000360005M0000RO,11/8/2022,BM 223400024,160
FCH0CA000480005M0000RO,5/30/2022,BM 223400008,360
FCH0CA000480005M0000RO,9/28/2022,BM 223400021,60
FL00DU003000007MT000IP,3/13/2023,BM 233400005,480
FL00DU000480040Y0000RO,11/8/2022,BM 223400024,96
FL00DU000480040Y0000RO,4/4/2023,BM 233400007,24
FI00D0003000030MT000RO,2/13/2023,BM 233400003,1080
FI00D0003000030MT000RO,3/13/2023,BM 233400005,120
FCH0DA000240012M0000RO,4/4/2023,BM 233400007,240
FCH0DA000360012M0000RO,4/4/2023,BM 233400007,800
FCB0DA000480012M0000RO,2/13/2023,BM 233400003,60
FCR0DA000480012M0000RO,11/8/2022,BM 223400024,60
FCG0DA000480012M0000RO,2/13/2023,BM 233400003,60
FCG0DA000480012M0000RO,3/13/2023,BM 233400005,60
FCH0DA000480012M0000RO,3/13/2023,BM 233400005,600
FCH0DA000480012M0000RO,4/4/2023,BM 233400007,600
FCK0DA000480012M0000RO,1/6/2023,BM 233400001,60
FCK0DA000480012M0000RO,4/4/2023,BM 233400007,60
FCM0DA000480012M0000RO,11/8/2022,BM 223400024,60
FCP0D0000480012M0000UM,8/29/2022,BM 223400020,300
FCS0DA000480012M0000RO,3/13/2023,BM 233400005,120
FF00D0000240005M0000RO,2/13/2023,BM 233400003,1152
FF00D0000240005M0000RO,3/13/2023,BM 233400005,960
FD00DQ000120012YP000RO,3/13/2023,BM 233400005,2400
FD00DQ000240012YP000RO,4/4/2023,BM 233400007,1200
FD00DQ000480012YP000RO,1/6/2023,BM 233400001,180
FD00DQ000480012YP000RO,4/4/2023,BM 233400007,60
FM00DI000120021M0000RO,11/8/2022,BM 223400024,960
FM00DI000120021M0000RO,2/13/2023,BM 233400003,192
FM00DI000120021M0000RO,3/13/2023,BM 233400005,576
FM00DI000120021M0000RO,4/4/2023,BM 233400007,576
FM00DI000240021M0000RO,2/13/2023,BM 233400004,1920
FM00DI000240021M0000RO,4/4/2023,BM 233400007,1920
FM00DI000480021M0000RO,2/13/2023,BM 233400003,240
FM00DI000480021M0000RO,4/4/2023,BM 233400007,480
FOC0D0000480500MA000RO,2/13/2023,BM 233400003,360
FOC0D0000480500MA000RO,2/13/2023,BM 233400004,120
FOC0D0000480500MA000RO,3/13/2023,BM 233400005,360
FOB0D0000480090YA000RO,6/15/2022,BM 223400012,144
FOG0D0000480090YA000RO,8/10/2022,BM 223400018,360
FOG0D0000480090YA000RO,11/8/2022,BM 223400024,72
FOG0D0000480090YA000RO,3/13/2023,BM 233400005,72
FOK0D0000480090YA000RO,1/6/2023,BM 233400001,72
FOK0D0000480090YA000RO,3/13/2023,BM 233400005,72
FOM0D0000480090YA000RO,9/28/2022,BM 223400021,720
FOM0D0000480090YA000RO,11/8/2022,BM 223400024,360
FOO0D0000480090YA000RO,9/28/2022,BM 223400021,72
FOO0D0000480090YA000RO,11/8/2022,BM 223400024,72
FOW0D0000480090YA000RO,2/13/2023,BM 233400003,72
FOT0D0000480090YA000RO,3/13/2023,BM 233400005,7200
FOT0D0000480090YA000RO,4/4/2023,BM 233400007,2520
FOT0D0000480090YA000RO,4/4/2023,BM 233400008,1080
FOC0D0000480090YA000RO,2/13/2023,BM 233400003,5400
FOC0D0000480090YA000RO,2/13/2023,BM 233400004,1080
FOC0D0000480090YA000RO,3/13/2023,BM 233400005,10800
FOC0D0000480090YA000RO,3/13/2023,BM 233400006,3600
FOC0D0000480090YA000RO,4/4/2023,BM 233400007,5400
FOC0D0000480090YA000RO,4/4/2023,BM 233400008,1800
FOT0D0000720100MA000RO,9/28/2022,BM 223400021,800
FOC0D0000720100MA000RO,9/28/2022,BM 223400021,480
FEH0DX000190020MO000RO,4/4/2023,BM 233400007,2400
FZ00DI100120072YC000RO,2/13/2023,BM 233400003,2880
FZ00DI100120072YC000RO,4/4/2023,BM 233400007,7200
FZ00DI100240072YC000RO,3/13/2023,BM 233400005,2880
FZ00DI100240072YC000RO,4/4/2023,BM 233400007,5040
FZ00DI100240072YC000RO,4/4/2023,BM 233400008,2160
FZN0D0000120010YE000RO,1/6/2023,BM 233400001,12000
FZN0D0000120025YE000RO,1/6/2023,BM 233400001,4800
FZN0D0000120025YE000RO,2/13/2023,BM 233400003,2880
FZN0D0000120025YE000RO,3/13/2023,BM 233400005,4800
FZ00DP100120072YB000RO,11/8/2022,BM 223400024,2304
FZ00DP100240072YB000RO,11/8/2022,BM 223400024,1440
FS00P0005001500ML000RO,4/4/2023,BM 233400007,100
FS00P0005000200ML000RO,4/4/2023,BM 233400007,570
FJ00D00000000000H020M3,2/13/2023,BM 233400003,30
FCH0EB100340010Y0000RO,4/4/2023,BM 233400007,400
