kodeBarang,namaBarang,isiPerBox,maxAge,sisaStok
FOC0D0000480090YA000RO,DAIMARU OPP 48 X 90Y TRANSP,72,12,0
FOT0D0000480090YA000RO,DAIMARU OPP 48 X 90Y TAN,72,12,0
FOM0D0000480090YA000RO,DAIMARU OPP 48 X 90Y MERAH,72,6,0
FOK0D0000480090YA000RO,DAIMARU OPP 48 X 90Y KUNING,72,6,0
FOG0D0000480090YA000RO,DAIMARU OPP 48 X 90Y HIJAU,72,6,0
FOB0D0000480090YA000RO,DAIMARU OPP 48 X 90Y BIRU,72,6,0
FOO0D0000480090YA000RO,DAIMARU OPP 48 X 90Y ORANGE,72,6,0
FOW0D0000480090YA000RO,DAIMARU OPP 48 X 90Y PUTIH,72,6,0
FOC0D0000720100MA000RO,DAIMARU OPP 72 X 100M TRANSP,32,6,0
FOT0D0000720100MA000RO,DAIMARU OPP 72 X 100M TAN,32,6,0
FOC0D0000480500MA000RO,DAIMARU OPP 48 X 500M TRANSP,12,6,0
FOC0E0000450055YA000RO,EKATAPE OPP 45 X 55Y TRANS,72,6,0
FOT0E0000450055YA000RO,EKATAPE OPP 45 X 55Y TAN,72,6,0
FOC0E0000450065YA000RO,EKATAPE OPP 45 X 65Y TRANS,72,6,0
FOT0E0000450065YA000RO,EKATAPE OPP 45 X 65Y TAN,72,6,0
FOC0E0000450085YA000RO,EKATAPE OPP 45 X 85Y TRANS,72,6,0
FOT0E0000450085YA000RO,EKATAPE OPP 45 X 85Y TAN,72,6,0
FOC0S0000450040YC000RO,SUPERFIX OPP 45 X 40Y TRANSP,72,6,0
FOT0S0000450040YC000RO,SUPERFIX OPP 45 X 40Y TAN,72,6,0
FPW000000480100MF0001W,OPP PRINTED 48 X 100M FRAGILE,48,6,0
FPW000000480100MH0001W,OPP PRINTED 48 X 100M JANGAN DIBANTING,48,6,0
FZN0D0000120010YE000RO,DAIMARU SAT MINISELOTIP 12 X 10Y,1200,6,0
FZN0D0000120025YE000RO,DAIMARU SAT MINISELOTIP 12 X 25Y,960,6,0
FZ00DI100120072YC000RO,DAIMARU SAT INDUSTRI 12 X 72Y,288,12,0
FZ00DI100240072YC000RO,DAIMARU SAT INDUSTRI 24 X 72Y,144,12,0
FZ00DP100120072YB000RO,DAIMARU SAT PREMIUM 12 X 72Y,288,6,0
FZ00DP100240072YB000RO,DAIMARU SAT PREMIUM 24 X 72Y,144,6,0
FCH0CA000240005M0000RO,DAIICHI CLT 24 X 5M HITAM,120,6,0
FCH0CA000360005M0000RO,DAIICHI CLT 36 X 5M HITAM,80,6,0
FCH0CA000480005M0000RO,DAIICHI CLT 48 X 5M HITAM,60,6,0
FCH0DA000240012M0000RO,DAIMARU CLT 24 X 12M HITAM,120,12,0
FCH0DA000360012M0000RO,DAIMARU CLT 36 X 12M HITAM,80,12,0
FCH0DA000480012M0000RO,DAIMARU CLT 48 X 12M HITAM,60,12,0
FCM0DA000480012M0000RO,DAIMARU CLT 48 X 12M MERAH,60,6,0
FCK0DA000480012M0000RO,DAIMARU CLT 48 X 12M KUNING,60,6,0
FCG0DA000480012M0000RO,DAIMARU CLT 48 X 12M HIJAU,60,6,0
FCB0DA000480012M0000RO,DAIMARU CLT 48 X 12M BIRU,60,6,0
FCR0DA000480012M0000RO,DAIMARU CLT 48 X 12M CREAM,60,6,0
FCS0DA000480012M0000RO,DAIMARU CLT 48 X 12M SILVER,60,6,0
FCP0D0000480012M0000UM,DAIMARU CLT 48 X 12M PINK,60,6,0
FCH0EB100340010Y0000RO,EKATAPE CLT 34 X 10Y HITAM,80,6,0
FCH0EB100460010Y0000RO,EKATAPE CLT 46 X 10Y HITAM,60,6,0
FM00DI000120021M0000RO,DAIMARU MASKING 12 X 21M,192,6,0
FM00DI000240021M0000RO,DAIMARU MASKING 24 X 21M,96,12,0
FM00DI000480021M0000RO,DAIMARU MASKING 48 X 21M,48,12,0
FM00EJ000240015Y0000RO,EKATAPE MASKING TAPE 24 X 15Y,36,6,0
FM00EJ000240020M0000RO,EKATAPE MASKING TAPE 24 X 20M,36,6,0
FM00EJ000480020M0000RO,EKATAPE MASKING TAPE 48 X 20M,24,6,0
FD00DQ000120012YP000RO,DAIMARU DOUBLE TP 12 X 12Y,240,12,0
FD00DQ000240012YP000RO,DAIMARU DOUBLE TP 24 X 12Y,120,12,0
FD00DQ000480012YP000RO,DAIMARU DOUBLE TP 48 X 12Y,60,12,0
FF00D0000240005M0000RO,DAIMARU DOUBLE FOAM 24 X 5M,96,6,0
FL00DU000480040Y0000RO,DAIMARU ALUMINIUM TAPE 48 X 40Y,24,6,0
FL00DU003000007MT000IP,DAIMARU ALUMINUM FOIL 300 X 7.6M,24,6,0
FEH0DX000190020MO000RO,DAIMARU PVC HITAM 19 X 20M,120,6,0
FS00P0005000200ML000RO,DAIMARU SF 500 X 200M X 17MIC,6,6,0
FS00P0005000300ML000RO,DAIMARU SF 500 X 300M X 17MIC,6,6,0
FS00P0005001500ML000RO,DAIMARU SF 500 X 1500M X 17MIC,1,6,0
FI00D0003000030MT000RO,DAIMARU CLING WRAP 300 X 30M X 10MIC,24,6,0
FI00D0003000500MK000RO,DAIMARU CLING WRAP 300 X 500M X 12MIC,6,6,0
FJ00D00000000000H050S1,DAIMARU ZIPPER BAG SMALL (16.5 X 15),30,6,0
FJ00D00000000000H020M2,DAIMARU ZIPPER BAG MEDIUM (22 X 18),30,6,0
FJ00D00000000000H020L0,DAIMARU ZIPPER BAG LARGE (27 X 30),30,6,0
FJ00D00000000000H020M3,DAIMARU ZIPPER BAG MIX (M + L),30,6,0
FOC0I0000480064MA001RT,INDOMARET OPP 48 X 64M TRANSP,48,6,0
FOT0I0000480064MA001RT,INDOMARET OPP 48 X 64M TAN,48,6,0
FZ000I100240066MC001IM,INDOMARET SAT INDUSTRI 24 X 66M,144,6,0
FD00I0000120011MP001IM,INDOMARET DOUBLE TP 12 X 11M,240,6,0
FZN0I0000120025YE002RT,INDOMARET MINISELOTIP 12 X 25Y (2R/PACK),288,6,0
FZ000I100120072YC000LR,LARISST SAT INDUSTRI 12 X 72Y,288,6,0
FZ000I100240072YC000LR,LARISST SAT INDUSTRI 24 X 72Y,144,6,0
FOC000000480100MA001LR,LARISST OPP 48 X 100M TRANP,48,6,0
FOT000000480100MA001LR,LARISST OPP 48 X 100M TAN,48,6,0
FPW0O0000480100ME0011W,LARISST OPP TAPE 48 X 100M FRAGILE,48,6,0
FOC0L0000480050MA001RT,ALFAMART OPP 48 X 50M TRANS,72,6,0
FOT0L0000480050MA001RT,ALFAMART OPP 48 X 50M TAN,72,6,0
FZC0L0000120072YC001RT,ALFAMART SAT INDUSTRI 12 X 72Y,288,6,0
FD00L0000120007MP001RT,ALFAMART DOUBLE TAPE 12 X 7M,288,6,0
